Model,Metric,Score,Smoothing Constant (w)
Exponential Smoothing,MAPE,0.0835,0.0
Exponential Smoothing,MAD,4.4382,0.0
Exponential Smoothing,RMSE,7.0859,0.0
Exponential Smoothing-log,MAPE,0.0835,0.0
Exponential Smoothing-log,MAD,4.4382,0.0
Exponential Smoothing-log,RMSE,7.0859,0.0
Exponential Smoothing-sqrt,MAPE,0.0835,0.0
Exponential Smoothing-sqrt,MAD,4.4382,0.0
Exponential Smoothing-sqrt,RMSE,7.0859,0.0
Exponential Smoothing,MAPE,0.0626,0.01
Exponential Smoothing,MAD,3.395,0.01
Exponential Smoothing,RMSE,6.321,0.01
Exponential Smoothing-log,MAPE,0.0641,0.01
Exponential Smoothing-log,MAD,3.4729,0.01
Exponential Smoothing-log,RMSE,6.3846,0.01
Exponential Smoothing-sqrt,MAPE,0.0634,0.01
Exponential Smoothing-sqrt,MAD,3.4353,0.01
Exponential Smoothing-sqrt,RMSE,6.3542,0.01
Exponential Smoothing,MAPE,0.0579,0.02
Exponential Smoothing,MAD,3.147,0.02
Exponential Smoothing,RMSE,6.1208,0.02
Exponential Smoothing-log,MAPE,0.0593,0.02
Exponential Smoothing-log,MAD,3.2255,0.02
Exponential Smoothing-log,RMSE,6.1854,0.02
Exponential Smoothing-sqrt,MAPE,0.0586,0.02
Exponential Smoothing-sqrt,MAD,3.1866,0.02
Exponential Smoothing-sqrt,RMSE,6.1542,0.02
Exponential Smoothing,MAPE,0.057,0.03
Exponential Smoothing,MAD,3.0987,0.03
Exponential Smoothing,RMSE,6.0802,0.03
Exponential Smoothing-log,MAPE,0.0582,0.03
Exponential Smoothing-log,MAD,3.1676,0.03
Exponential Smoothing-log,RMSE,6.1388,0.03
Exponential Smoothing-sqrt,MAPE,0.0576,0.03
Exponential Smoothing-sqrt,MAD,3.135,0.03
Exponential Smoothing-sqrt,RMSE,6.1105,0.03
Exponential Smoothing,MAPE,0.0572,0.04
Exponential Smoothing,MAD,3.1125,0.04
Exponential Smoothing,RMSE,6.0915,0.04
Exponential Smoothing-log,MAPE,0.0583,0.04
Exponential Smoothing-log,MAD,3.1731,0.04
Exponential Smoothing-log,RMSE,6.1432,0.04
Exponential Smoothing-sqrt,MAPE,0.0578,0.04
Exponential Smoothing-sqrt,MAD,3.1441,0.04
Exponential Smoothing-sqrt,RMSE,6.1183,0.04
Exponential Smoothing,MAPE,0.0579,0.05
Exponential Smoothing,MAD,3.1467,0.05
Exponential Smoothing,RMSE,6.1205,0.05
Exponential Smoothing-log,MAPE,0.0588,0.05
Exponential Smoothing-log,MAD,3.1999,0.05
Exponential Smoothing-log,RMSE,6.1652,0.05
Exponential Smoothing-sqrt,MAPE,0.0584,0.05
Exponential Smoothing-sqrt,MAD,3.1736,0.05
Exponential Smoothing-sqrt,RMSE,6.1437,0.05
Exponential Smoothing,MAPE,0.0586,0.06
Exponential Smoothing,MAD,3.1863,0.06
Exponential Smoothing,RMSE,6.154,0.06
Exponential Smoothing-log,MAPE,0.0595,0.06
Exponential Smoothing-log,MAD,3.2341,0.06
Exponential Smoothing-log,RMSE,6.1921,0.06
Exponential Smoothing-sqrt,MAPE,0.059,0.06
Exponential Smoothing-sqrt,MAD,3.2105,0.06
Exponential Smoothing-sqrt,RMSE,6.1737,0.06
Exponential Smoothing,MAPE,0.0594,0.07
Exponential Smoothing,MAD,3.2272,0.07
Exponential Smoothing,RMSE,6.1867,0.07
Exponential Smoothing-log,MAPE,0.0601,0.07
Exponential Smoothing-log,MAD,3.2679,0.07
Exponential Smoothing-log,RMSE,6.219,0.07
Exponential Smoothing-sqrt,MAPE,0.0598,0.07
Exponential Smoothing-sqrt,MAD,3.2484,0.07
Exponential Smoothing-sqrt,RMSE,6.2034,0.07
Exponential Smoothing,MAPE,0.0601,0.08
Exponential Smoothing,MAD,3.2651,0.08
Exponential Smoothing,RMSE,6.2167,0.08
Exponential Smoothing-log,MAPE,0.0607,0.08
Exponential Smoothing-log,MAD,3.299,0.08
Exponential Smoothing-log,RMSE,6.2443,0.08
Exponential Smoothing-sqrt,MAPE,0.0604,0.08
Exponential Smoothing-sqrt,MAD,3.2826,0.08
Exponential Smoothing-sqrt,RMSE,6.2309,0.08
Exponential Smoothing,MAPE,0.0607,0.09
Exponential Smoothing,MAD,3.2982,0.09
Exponential Smoothing,RMSE,6.2437,0.09
Exponential Smoothing-log,MAPE,0.0613,0.09
Exponential Smoothing-log,MAD,3.3281,0.09
Exponential Smoothing-log,RMSE,6.2677,0.09
Exponential Smoothing-sqrt,MAPE,0.061,0.09
Exponential Smoothing-sqrt,MAD,3.313,0.09
Exponential Smoothing-sqrt,RMSE,6.2559,0.09
Exponential Smoothing,MAPE,0.0613,0.1
Exponential Smoothing,MAD,3.3283,0.1
Exponential Smoothing,RMSE,6.2678,0.1
Exponential Smoothing-log,MAPE,0.0618,0.1
Exponential Smoothing-log,MAD,3.3553,0.1
Exponential Smoothing-log,RMSE,6.2891,0.1
Exponential Smoothing-sqrt,MAPE,0.0616,0.1
Exponential Smoothing-sqrt,MAD,3.3421,0.1
Exponential Smoothing-sqrt,RMSE,6.2786,0.1
Exponential Smoothing,MAPE,0.0618,0.11
Exponential Smoothing,MAD,3.3558,0.11
Exponential Smoothing,RMSE,6.2895,0.11
Exponential Smoothing-log,MAPE,0.0623,0.11
Exponential Smoothing-log,MAD,3.3799,0.11
Exponential Smoothing-log,RMSE,6.3088,0.11
Exponential Smoothing-sqrt,MAPE,0.0621,0.11
Exponential Smoothing-sqrt,MAD,3.368,0.11
Exponential Smoothing-sqrt,RMSE,6.2992,0.11
Exponential Smoothing,MAPE,0.0623,0.12
Exponential Smoothing,MAD,3.3802,0.12
Exponential Smoothing,RMSE,6.309,0.12
Exponential Smoothing-log,MAPE,0.0627,0.12
Exponential Smoothing-log,MAD,3.4023,0.12
Exponential Smoothing-log,RMSE,6.327,0.12
Exponential Smoothing-sqrt,MAPE,0.0625,0.12
Exponential Smoothing-sqrt,MAD,3.3914,0.12
Exponential Smoothing-sqrt,RMSE,6.3181,0.12
Exponential Smoothing,MAPE,0.0627,0.13
Exponential Smoothing,MAD,3.4021,0.13
Exponential Smoothing,RMSE,6.3268,0.13
Exponential Smoothing-log,MAPE,0.0631,0.13
Exponential Smoothing-log,MAD,3.4227,0.13
Exponential Smoothing-log,RMSE,6.3438,0.13
Exponential Smoothing-sqrt,MAPE,0.0629,0.13
Exponential Smoothing-sqrt,MAD,3.4125,0.13
Exponential Smoothing-sqrt,RMSE,6.3353,0.13
Exponential Smoothing,MAPE,0.0631,0.14
