Model,Metric,Score,Moving Window (m),Type
1-MA,MAPE,13.9655,1,MA
1-MA,MAD,650.5942,1,MA
1-MA,RMSE,755.6255,1,MA
1-MA-log,MAPE,0.9401,1,MA-log
1-MA-log,MAD,43.9019,1,MA-log
1-MA-log,RMSE,44.8693,1,MA-log
1-MA-sqrt,MAPE,38.7668,1,MA-sqrt
1-MA-sqrt,MAD,1796.7573,1,MA-sqrt
1-MA-sqrt,RMSE,2545.0037,1,MA-sqrt
1-MM,MAPE,13.9655,1,MM
1-MM,MAD,650.5942,1,MM
1-MM,RMSE,755.6255,1,MM
1-MM-log,MAPE,0.9401,1,MM-log
1-MM-log,MAD,43.9019,1,MM-log
1-MM-log,RMSE,44.8693,1,MM-log
1-MM-sqrt,MAPE,38.7668,1,MM-sqrt
1-MM-sqrt,MAD,1796.7573,1,MM-sqrt
1-MM-sqrt,RMSE,2545.0037,1,MM-sqrt
2-MA,MAPE,2.8737,2,MA
2-MA,MAD,133.9415,2,MA
2-MA,RMSE,158.6223,2,MA
2-MA-log,MAPE,0.7841,2,MA-log
2-MA-log,MAD,36.7121,2,MA-log
2-MA-log,RMSE,38.9475,2,MA-log
2-MA-sqrt,MAPE,0.7787,2,MA-sqrt
2-MA-sqrt,MAD,36.2637,2,MA-sqrt
2-MA-sqrt,RMSE,43.8473,2,MA-sqrt
2-MM,MAPE,2.8737,2,MM
2-MM,MAD,133.9415,2,MM
2-MM,RMSE,158.6223,2,MM
2-MM-log,MAPE,0.7841,2,MM-log
2-MM-log,MAD,36.7121,2,MM-log
2-MM-log,RMSE,38.9475,2,MM-log
2-MM-sqrt,MAPE,0.7787,2,MM-sqrt
2-MM-sqrt,MAD,36.2637,2,MM-sqrt
2-MM-sqrt,RMSE,43.8473,2,MM-sqrt
3-MA,MAPE,1.1715,3,MA
3-MA,MAD,54.5105,3,MA
3-MA,RMSE,65.4032,3,MA
3-MA-log,MAPE,0.5847,3,MA-log
3-MA-log,MAD,27.2707,3,MA-log
3-MA-log,RMSE,29.9878,3,MA-log
3-MA-sqrt,MAPE,0.6766,3,MA-sqrt
3-MA-sqrt,MAD,31.5706,3,MA-sqrt
3-MA-sqrt,RMSE,34.9336,3,MA-sqrt
3-MM,MAPE,0.3003,3,MM
3-MM,MAD,13.8347,3,MM
3-MM,RMSE,14.1467,3,MM
3-MM-log,MAPE,0.3008,3,MM-log
3-MM-log,MAD,13.8598,3,MM-log
3-MM-log,RMSE,14.1996,3,MM-log
3-MM-sqrt,MAPE,0.3002,3,MM-sqrt
3-MM-sqrt,MAD,13.8305,3,MM-sqrt
3-MM-sqrt,RMSE,14.142,3,MM-sqrt
4-MA,MAPE,0.2094,4,MA
4-MA,MAD,9.6634,4,MA
4-MA,RMSE,11.4851,4,MA
4-MA-log,MAPE,0.1964,4,MA-log
4-MA-log,MAD,9.0892,4,MA-log
4-MA-log,RMSE,10.6133,4,MA-log
4-MA-sqrt,MAPE,0.2027,4,MA-sqrt
4-MA-sqrt,MAD,9.368,4,MA-sqrt
4-MA-sqrt,RMSE,11.0319,4,MA-sqrt
4-MM,MAPE,0.2459,4,MM
4-MM,MAD,11.3321,4,MM
4-MM,RMSE,11.7388,4,MM
4-MM-log,MAPE,0.2458,4,MM-log
4-MM-log,MAD,11.3309,4,MM-log
4-MM-log,RMSE,11.7553,4,MM-log
4-MM-sqrt,MAPE,0.2456,4,MM-sqrt
4-MM-sqrt,MAD,11.3195,4,MM-sqrt
4-MM-sqrt,RMSE,11.7188,4,MM-sqrt
5-MA,MAPE,1.6273,5,MA
5-MA,MAD,75.8867,5,MA
5-MA,RMSE,90.7934,5,MA
5-MA-log,MAPE,0.6307,5,MA-log
5-MA-log,MAD,29.5179,5,MA-log
5-MA-log,RMSE,32.7233,5,MA-log
5-MA-sqrt,MAPE,0.6924,5,MA-sqrt
5-MA-sqrt,MAD,32.4716,5,MA-sqrt
5-MA-sqrt,RMSE,35.8342,5,MA-sqrt
5-MM,MAPE,1.8556,5,MM
5-MM,MAD,86.5353,5,MM
5-MM,RMSE,102.6213,5,MM
5-MM-log,MAPE,0.6591,5,MM-log
5-MM-log,MAD,30.8253,5,MM-log
5-MM-log,RMSE,33.6965,5,MM-log
5-MM-sqrt,MAPE,0.6862,5,MM-sqrt
5-MM-sqrt,MAD,32.2022,5,MM-sqrt
5-MM-sqrt,RMSE,35.2897,5,MM-sqrt
6-MA,MAPE,0.2219,6,MA
6-MA,MAD,10.3187,6,MA
6-MA,RMSE,10.7905,6,MA
6-MA-log,MAPE,0.2003,6,MA-log
6-MA-log,MAD,9.3033,6,MA-log
6-MA-log,RMSE,9.7854,6,MA-log
6-MA-sqrt,MAPE,0.2112,6,MA-sqrt
6-MA-sqrt,MAD,9.812,6,MA-sqrt
6-MA-sqrt,RMSE,10.2639,6,MA-sqrt
6-MM,MAPE,0.2402,6,MM
6-MM,MAD,11.1061,6,MM
6-MM,RMSE,11.5188,6,MM
6-MM-log,MAPE,0.2398,6,MM-log
6-MM-log,MAD,11.0947,6,MM-log
6-MM-log,RMSE,11.5398,6,MM-log
6-MM-sqrt,MAPE,0.2399,6,MM-sqrt
6-MM-sqrt,MAD,11.0904,6,MM-sqrt
6-MM-sqrt,RMSE,11.5004,6,MM-sqrt
7-MA,MAPE,0.0822,7,MA
7-MA,MAD,3.8171,7,MA
7-MA,RMSE,4.8943,7,MA
7-MA-log,MAPE,0.0807,7,MA-log
7-MA-log,MAD,3.7424,7,MA-log
7-MA-log,RMSE,4.5589,7,MA-log
7-MA-sqrt,MAPE,0.0802,7,MA-sqrt
7-MA-sqrt,MAD,3.718,7,MA-sqrt
7-MA-sqrt,RMSE,4.6685,7,MA-sqrt
7-MM,MAPE,0.1935,7,MM
7-MM,MAD,8.9506,7,MM
7-MM,RMSE,9.4125,7,MM
